Name,CandidatesForFusion,NumberOfBranches,|
SingleSource/Benchmarks/Shootout-C++/ary,*,7
SingleSource/Benchmarks/Shootout-C++/ary2,*,7
SingleSource/Benchmarks/Shootout-C++/ary3,*,9
SingleSource/Benchmarks/Shootout-C++/fibo,*,2
SingleSource/Benchmarks/Shootout-C++/hash,2,33
SingleSource/Benchmarks/Shootout-C++/hash2,2,39
SingleSource/Benchmarks/Shootout-C++/heapsort,*,8
SingleSource/Benchmarks/Shootout-C++/hello,*,1
SingleSource/Benchmarks/Shootout-C++/lists,*,18
SingleSource/Benchmarks/Shootout-C++/lists1,*,22
SingleSource/Benchmarks/Shootout-C++/matrix,*,11
SingleSource/Benchmarks/Shootout-C++/methcall,*,7
SingleSource/Benchmarks/Shootout-C++/moments,5,44
SingleSource/Benchmarks/Shootout-C++/nestedloop,*,7
SingleSource/Benchmarks/Shootout-C++/objinst,*,11
SingleSource/Benchmarks/Shootout-C++/random,*,2
SingleSource/Benchmarks/Shootout-C++/reversefile,2,26
SingleSource/Benchmarks/Shootout-C++/sieve,*,18
SingleSource/Benchmarks/Shootout-C++/spellcheck,3,38
SingleSource/Benchmarks/Shootout-C++/strcat,*,6
SingleSource/Benchmarks/Shootout-C++/sumcol,*,2
SingleSource/Benchmarks/Shootout-C++/wc,*,8
SingleSource/Benchmarks/Shootout-C++/wordfreq,8,75
SingleSource/Benchmarks/SmallPT/smallpt,3,34
SingleSource/Benchmarks/Stanford/Bubblesort,*,9
SingleSource/Benchmarks/Stanford/FloatMM,*,7
SingleSource/Benchmarks/Stanford/IntMM,*,6
SingleSource/Benchmarks/Stanford/Oscar,*,16
SingleSource/Benchmarks/Stanford/Perm,*,6
SingleSource/Benchmarks/Stanford/Puzzle,*,63
SingleSource/Benchmarks/Stanford/Queens,*,15
SingleSource/Benchmarks/Stanford/Quicksort,*,12
SingleSource/Benchmarks/Stanford/RealMM,*,6
SingleSource/Benchmarks/Stanford/Towers,1,10
SingleSource/Benchmarks/Stanford/Treesort,*,16
SingleSource/Regression/C/2003-05-14-initialize-string,*,*
SingleSource/Regression/C/2003-05-21-BitfieldHandling,*,*
SingleSource/Regression/C/2003-05-21-UnionBitfields,*,2
SingleSource/Regression/C/2003-05-21-UnionTest,*,*
SingleSource/Regression/C/2003-05-22-LocalTypeTest,*,*
SingleSource/Regression/C/2003-05-22-VarSizeArray,*,*
SingleSource/Regression/C/2003-05-23-TransparentUnion,*,1
SingleSource/Regression/C/2003-06-16-InvalidInitializer,*,*
SingleSource/Regression/C/2003-06-16-VolatileError,*,*
SingleSource/Regression/C/2003-10-12-GlobalVarInitializers,*,*
SingleSource/Regression/C/2004-02-03-AggregateCopy,*,*
SingleSource/Regression/C/2004-03-15-IndirectGoto,*,*
SingleSource/Regression/C/2004-08-12-InlinerAndAllocas,*,2
SingleSource/Regression/C/2005-05-06-LongLongSignedShift,*,*
SingleSource/Regression/C/2008-01-07-LongDouble,*,*
SingleSource/Regression/C/badidx,*,2
SingleSource/Regression/C/bigstack,*,9
SingleSource/Regression/C/callargs,*,*
SingleSource/Regression/C/casts,*,6
SingleSource/Regression/C/compare,*,2
SingleSource/Regression/C/ConstructorDestructorAttributes,*,*
SingleSource/Regression/C/DuffsDevice,*,2
SingleSource/Regression/C/globalrefs,*,2
SingleSource/Regression/C/matrixTranspose,*,5
SingleSource/Regression/C/pointer_arithmetic,*,*
SingleSource/Regression/C/PR10189,*,5
SingleSource/Regression/C/PR1386,*,*
SingleSource/Regression/C/PR491,*,2
SingleSource/Regression/C/PR640,*,17
SingleSource/Regression/C/sumarray,*,3
SingleSource/Regression/C/sumarray2d,*,6
SingleSource/Regression/C/sumarraymalloc,*,4
SingleSource/Regression/C/test_indvars,*,8
SingleSource/Regression/C/testtrace,*,4
SingleSource/Regression/C/uint64_to_float,*,9
SingleSource/Regression/C++/EH/ConditionalExpr,1,3
SingleSource/Regression/C++/EH/ctor_dtor_count-2,*,1
SingleSource/Regression/C++/EH/ctor_dtor_count,*,1
SingleSource/Regression/C++/EH/dead_try_block,*,*
SingleSource/Regression/C++/EH/exception_spec_test,*,4
SingleSource/Regression/C++/EH/function_try_block,*,2
SingleSource/Regression/C++/EH/inlined_cleanup,*,1
SingleSource/Regression/C++/EH/recursive-throw,*,4
SingleSource/Regression/C++/EH/simple_rethrow,*,1
SingleSource/Regression/C++/EH/simple_throw,*,*
SingleSource/Regression/C++/EH/throw_rethrow_test,*,7
SingleSource/Regression/C++/2003-05-14-array-init,*,*
SingleSource/Regression/C++/2003-05-14-expr_stmt,*,*
SingleSource/Regression/C++/2003-06-08-BaseType,*,*
SingleSource/Regression/C++/2003-06-08-VirtualFunctions,*,*
SingleSource/Regression/C++/2003-06-13-Crasher,*,*
SingleSource/Regression/C++/2003-08-20-EnumSizeProblem,*,*
SingleSource/Regression/C++/2003-09-29-NonPODsByValue,*,*
SingleSource/Regression/C++/2008-01-29-ParamAliasesReturn,*,*
SingleSource/Regression/C++/2011-03-28-Bitfield,*,4
SingleSource/Regression/C++/BuiltinTypeInfo,*,*
SingleSource/Regression/C++/fixups,*,10
SingleSource/Regression/C++/global_ctor,*,*
SingleSource/Regression/C++/global_type,*,*
SingleSource/Regression/C++/ofstream_ctor,*,*
SingleSource/Regression/C++/pointer_member,*,*
SingleSource/Regression/C++/pointer_method,*,1
SingleSource/Regression/C++/pointer_method2,*,3
SingleSource/Regression/C++/short_circuit_dtor,*,4
SingleSource/UnitTests/ObjC/bitfield-access-2,*,3
SingleSource/UnitTests/ObjC/bitfield-access,*,*
SingleSource/UnitTests/ObjC/block-byref-aggr,*,*
SingleSource/UnitTests/ObjC/BoolLiteralTest,*,1
SingleSource/UnitTests/ObjC/constant-strings,*,*
SingleSource/UnitTests/ObjC/dot-syntax-1,*,*
SingleSource/UnitTests/ObjC/dot-syntax-2,*,*
SingleSource/UnitTests/ObjC/dot-syntax,*,*
SingleSource/UnitTests/ObjC/exceptions-2,*,2
SingleSource/UnitTests/ObjC/exceptions-3,*,4
SingleSource/UnitTests/ObjC/exceptions-4,*,5
SingleSource/UnitTests/ObjC/exceptions,*,31
SingleSource/UnitTests/ObjC/for-in,*,10
SingleSource/UnitTests/ObjC/instance-method-metadata,*,*
SingleSource/UnitTests/ObjC/messages-2,*,6
SingleSource/UnitTests/ObjC/messages,*,1
SingleSource/UnitTests/ObjC/parameter-passing,*,*
SingleSource/UnitTests/ObjC/predefined-expr-in-method,*,*
SingleSource/UnitTests/ObjC/property,*,*
SingleSource/UnitTests/ObjC/protocols,*,*
SingleSource/UnitTests/ObjC/synchronized,*,3
SingleSource/UnitTests/ObjC/trivial-interface,*,*
SingleSource/UnitTests/ObjC++/Hello,*,3
SingleSource/UnitTests/ObjC++/property-reference-object,*,1
SingleSource/UnitTests/ObjC++/property-reference,*,15
SingleSource/UnitTests/ObjC++/reference-in-block-args,*,2
SingleSource/UnitTests/2002-04-17-PrintfChar,*,*
SingleSource/UnitTests/2002-05-02-ArgumentTest,*,*
SingleSource/UnitTests/2002-05-02-CastTest,*,2
SingleSource/UnitTests/2002-05-02-CastTest1,*,*
SingleSource/UnitTests/2002-05-02-CastTest2,*,1
SingleSource/UnitTests/2002-05-02-CastTest3,*,1
SingleSource/UnitTests/2002-05-02-ManyArguments,*,*
SingleSource/UnitTests/2002-05-03-NotTest,*,6
SingleSource/UnitTests/2002-05-19-DivTest,*,*
SingleSource/UnitTests/2002-08-02-CastTest,*,*
SingleSource/UnitTests/2002-08-02-CastTest2,*,*
SingleSource/UnitTests/2002-08-19-CodegenBug,*,1
SingleSource/UnitTests/2002-10-09-ArrayResolution,*,1
SingleSource/UnitTests/2002-10-12-StructureArgs,*,*
SingleSource/UnitTests/2002-10-12-StructureArgsSimple,*,*
SingleSource/UnitTests/2002-10-13-BadLoad,*,*
SingleSource/UnitTests/2002-12-13-MishaTest,*,2
SingleSource/UnitTests/2003-04-22-Switch,*,1
SingleSource/UnitTests/2003-05-02-DependentPHI,*,2
SingleSource/UnitTests/2003-05-07-VarArgs,*,8
SingleSource/UnitTests/2003-05-12-MinIntProblem,*,1
SingleSource/UnitTests/2003-05-14-AtExit,*,*
SingleSource/UnitTests/2003-05-26-Shorts,*,*
SingleSource/UnitTests/2003-05-31-CastToBool,*,2
SingleSource/UnitTests/2003-05-31-LongShifts,*,1
SingleSource/UnitTests/2003-07-06-IntOverflow,*,1
SingleSource/UnitTests/2003-07-08-BitOpsTest,*,*
SingleSource/UnitTests/2003-07-09-LoadShorts,*,*
SingleSource/UnitTests/2003-07-09-SignedArgs,*,6
SingleSource/UnitTests/2003-07-10-SignConversions,*,*
SingleSource/UnitTests/2003-08-05-CastFPToUint,*,*
SingleSource/UnitTests/2003-08-11-VaListArg,*,8
SingleSource/UnitTests/2003-08-20-FoldBug,*,1
SingleSource/UnitTests/2003-09-18-BitFieldTest,*,*
SingleSource/UnitTests/2003-10-13-SwitchTest,*,*
SingleSource/UnitTests/2003-10-29-ScalarReplBug,*,*
